,AIRPORTS,MONTH,YEAR,PAX,MOVEMENTS,CARGO (KG)
2853,SALAMANCA,11,2014,1247,252,0
2854,SAN SEBASTIAN,11,2014,20755,485,215
2855,SANTIAGO-ROSALIA DE CASTRO,11,2014,139940,1300,175920
2856,SEVE BALLESTEROS-SANTANDER,11,2014,47504,660,0
2857,SEVILLA,11,2014,283228,3301,448073
2858,SON BONET,11,2014,81,544,0
2859,TENERIFE NORTE-C. LA LAGUNA,11,2014,267410,3995,950259
2860,TENERIFE SUR,11,2014,829795,5530,295777
2861,VALENCIA,11,2014,309225,4177,934744
2862,VALLADOLID,11,2014,12919,241,85
2863,VIGO,11,2014,50732,691,43333
2864,VITORIA,11,2014,745,500,3757755
2865,ZARAGOZA,11,2014,31305,524,7926938
2866,A CORUÑA,12,2014,75837,1069,17473
2867,ADOLFO SUAREZ MADRID-BARAJAS,12,2014,3344758,27622,33750769
2868,ALBACETE,12,2014,98,24,0
2869,ALGECIRAS-HELIPUERTO,12,2014,0,8,0
2870,ALICANTE-ELCHE,12,2014,520414,4064,240812
2871,ALMERIA,12,2014,27031,603,404
2872,ASTURIAS,12,2014,77630,767,4877
2873,BADAJOZ,12,2014,2666,137,0
2874,BARCELONA-EL PRAT J.T.,12,2014,2410407,18971,8772839
2875,BILBAO,12,2014,269229,2920,214333
2876,BURGOS,12,2014,874,133,1750
2877,CEUTA-HELIPUERTO,12,2014,214,65,0
2878,CORDOBA,12,2014,426,462,0
2879,EL HIERRO,12,2014,12494,282,6078
2880,FGL GRANADA-JAEN,12,2014,52777,785,20
2881,FUERTEVENTURA,12,2014,364643,3284,85804
2882,GIRONA-COSTA BRAVA,12,2014,49959,775,13658
2883,GRAN CANARIA,12,2014,973207,9307,1788024
2884,HUESCA-PIRINEOS,12,2014,4,58,0
2885,IBIZA,12,2014,118798,1536,109171
2886,JEREZ DE LA FRONTERA,12,2014,23207,1860,30
2887,LA GOMERA,12,2014,2298,138,55
2888,LA PALMA,12,2014,81624,1371,50087
2889,LANZAROTE-CESAR MANRIQUE,12,2014,435602,4173,160771
2890,LEON,12,2014,2059,96,0
2891,LOGROÑO,12,2014,967,62,0
2892,MADRID-CUATRO VIENTOS,12,2014,229,2674,0
2893,MALAGA-COSTA DEL SOL,12,2014,684577,6173,195333
2894,MELILLA,12,2014,26497,732,12308
2895,MENORCA,12,2014,55201,834,126582
2896,MURCIA-SAN JAVIER,12,2014,18005,216,41
2897,PALMA DE MALLORCA,12,2014,629817,6154,788099
2898,PAMPLONA,12,2014,8913,339,226
2899,REUS,12,2014,7849,654,0
2900,SABADELL,12,2014,246,2223,0
2901,SALAMANCA,12,2014,1063,214,0
2902,SAN SEBASTIAN,12,2014,16577,364,17
2903,SANTIAGO-ROSALIA DE CASTRO,12,2014,146417,1396,206132
2904,SEVE BALLESTEROS-SANTANDER,12,2014,43754,634,0
2905,SEVILLA,12,2014,272866,2952,478897
2906,SON BONET,12,2014,56,572,0
2907,TENERIFE NORTE-C. LA LAGUNA,12,2014,308386,4357,972954
2908,TENERIFE SUR,12,2014,794269,5571,298407
2909,VALENCIA,12,2014,293031,3974,1596098
2910,VALLADOLID,12,2014,11661,210,35
2911,VIGO,12,2014,49600,740,50231
2912,VITORIA,12,2014,577,528,4002822
2913,ZARAGOZA,12,2014,33210,498,5612317
2914,A CORUÑA,1,2015,68847,1005,10918
2915,ADOLFO SUAREZ MADRID-BARAJAS,1,2015,3148894,27257,27619855
2916,ALBACETE,1,2015,182,46,0
2917,ALICANTE-ELCHE,1,2015,498596,3879,179583
2918,ALMERIA,1,2015,24992,568,647
2919,ASTURIAS,1,2015,61476,630,3908
2920,BADAJOZ,1,2015,2307,140,0
2921,BARCELONA-EL PRAT J.T.,1,2015,2203277,18317,7804990
2922,BILBAO,1,2015,230303,2736,208615
2923,BURGOS,1,2015,738,124,0
2924,CEUTA-HELIPUERTO,1,2015,166,48,0
2925,CORDOBA,1,2015,477,484,0
2926,EL HIERRO,1,2015,10373,284,5749
2927,FGL GRANADA-JAEN,1,2015,46904,807,0
2928,FUERTEVENTURA,1,2015,369743,3214,76565
2929,GIRONA-COSTA BRAVA,1,2015,49333,801,3470
2930,GRAN CANARIA,1,2015,981267,9243,1415647
2931,HUESCA-PIRINEOS,1,2015,0,60,0
2932,IBIZA,1,2015,106430,1425,97599
2933,JEREZ DE LA FRONTERA,1,2015,22334,2684,4039
2934,LA GOMERA,1,2015,2248,140,61
2935,LA PALMA,1,2015,73905,1246,54881
2936,LANZAROTE-CESAR MANRIQUE,1,2015,451791,4046,149049
2937,LEON,1,2015,1304,97,0
2938,LOGROÑO,1,2015,795,92,0
2939,MADRID-CUATRO VIENTOS,1,2015,141,2536,0
2940,MALAGA-COSTA DEL SOL,1,2015,644750,5776,180614
2941,MELILLA,1,2015,23232,675,10031
2942,MENORCA,1,2015,45693,800,111934
2943,MURCIA-SAN JAVIER,1,2015,19154,254,11
2944,PALMA DE MALLORCA,1,2015,565027,5952,689401
2945,PAMPLONA,1,2015,9532,379,262
2946,REUS,1,2015,8807,776,0
2947,SABADELL,1,2015,200,2039,0
2948,SALAMANCA,1,2015,1024,324,0
2949,SAN SEBASTIAN,1,2015,15064,447,0
2950,SANTIAGO-ROSALIA DE CASTRO,1,2015,126832,1322,175403
2951,SEVE BALLESTEROS-SANTANDER,1,2015,39240,585,63
2952,SEVILLA,1,2015,250559,3025,443533
2953,SON BONET,1,2015,68,683,0
2954,TENERIFE NORTE-C. LA LAGUNA,1,2015,262627,4076,804373
2955,TENERIFE SUR,1,2015,817548,5619,280018
2956,VALENCIA,1,2015,271120,3920,985686
2957,VALLADOLID,1,2015,9585,210,0
2958,VIGO,1,2015,43564,654,37870
2959,VITORIA,1,2015,673,461,3355146
2960,ZARAGOZA,1,2015,26208,427,5460976
2961,A CORUÑA,2,2015,73791,1105,10763
2962,ADOLFO SUAREZ MADRID-BARAJAS,2,2015,2997408,25516,29739523
2963,ALBACETE,2,2015,221,73,0
2964,ALICANTE-ELCHE,2,2015,503823,3724,179756
2965,ALMERIA,2,2015,32981,587,250
2966,ASTURIAS,2,2015,62570,619,6121
2967,BADAJOZ,2,2015,2283,156,0
2968,BARCELONA-EL PRAT J.T.,2,2015,2218651,17508,8747475
2969,BILBAO,2,2015,254875,2804,222275
2970,BURGOS,2,2015,811,115,0
2971,CEUTA-HELIPUERTO,2,2015,47,13,0
2972,CORDOBA,2,2015,422,411,0
2973,EL HIERRO,2,2015,11179,284,6436
2974,FGL GRANADA-JAEN,2,2015,49268,758,149
2975,FUERTEVENTURA,2,2015,363147,2949,71077
2976,GIRONA-COSTA BRAVA,2,2015,48500,849,5992
2977,GRAN CANARIA,2,2015,914435,8402,1492897
2978,HUESCA-PIRINEOS,2,2015,8,75,0
2979,IBIZA,2,2015,112930,1409,108127
2980,JEREZ DE LA FRONTERA,2,2015,27228,3392,2688
2981,LA GOMERA,2,2015,1893,104,36
2982,LA PALMA,2,2015,75047,1254,46459
2983,LANZAROTE-CESAR MANRIQUE,2,2015,442072,3904,135040
2984,LEON,2,2015,1187,68,0
2985,LOGROÑO,2,2015,1002,76,0
2986,MADRID-CUATRO VIENTOS,2,2015,109,2553,0
2987,MALAGA-COSTA DEL SOL,2,2015,674688,5526,208986
2988,MELILLA,2,2015,23909,620,11011
2989,MENORCA,2,2015,51522,801,106162
2990,MURCIA-SAN JAVIER,2,2015,18389,228,0
2991,PALMA DE MALLORCA,2,2015,625652,5909,758562
2992,PAMPLONA,2,2015,10647,350,191
2993,REUS,2,2015,7875,619,0
2994,SABADELL,2,2015,195,2034,0
2995,SALAMANCA,2,2015,1047,610,0
2996,SAN SEBASTIAN,2,2015,16502,368,591
2997,SANTIAGO-ROSALIA DE CASTRO,2,2015,120206,1173,159819
2998,SEVE BALLESTEROS-SANTANDER,2,2015,40701,570,0
2999,SEVILLA,2,2015,268318,3126,422326
3000,SON BONET,2,2015,74,634,0
3001,TENERIFE NORTE-C. LA LAGUNA,2,2015,257483,3861,861697
3002,TENERIFE SUR,2,2015,774818,5053,246903
3003,VALENCIA,2,2015,274600,3762,983751
3004,VALLADOLID,2,2015,11257,224,9007
3005,VIGO,2,2015,44715,591,52881
3006,VITORIA,2,2015,449,423,3115300
3007,ZARAGOZA,2,2015,29749,473,6578325
3008,A CORUÑA,3,2015,86020,1325,10546
3009,ADOLFO SUAREZ MADRID-BARAJAS,3,2015,3659969,29346,33494553
3010,ALBACETE,3,2015,14,8,0
3011,ALGECIRAS-HELIPUERTO,3,2015,11,2,0
3012,ALICANTE-ELCHE,3,2015,669004,4737,218912
3013,ALMERIA,3,2015,50025,714,536
3014,ASTURIAS,3,2015,86583,780,4717
3015,BADAJOZ,3,2015,2846,162,0
3016,BARCELONA-EL PRAT J.T.,3,2015,2892410,21697,10171928
3017,BILBAO,3,2015,318598,3431,243437
3018,BURGOS,3,2015,1426,163,0
3019,CEUTA-HELIPUERTO,3,2015,123,28,0
3020,CORDOBA,3,2015,815,644,0
3021,EL HIERRO,3,2015,11784,294,6094
3022,FGL GRANADA-JAEN,3,2015,59680,852,0
3023,FUERTEVENTURA,3,2015,418998,3175,85799
3024,GIRONA-COSTA BRAVA,3,2015,69776,1149,3322
3025,GRAN CANARIA,3,2015,1007858,9204,1648355
3026,HUESCA-PIRINEOS,3,2015,0,104,0
3027,IBIZA,3,2015,164527,1939,136438
3028,JEREZ DE LA FRONTERA,3,2015,48496,3362,11
3029,LA GOMERA,3,2015,2414,156,36
3030,LA PALMA,3,2015,83445,1333,57356
3031,LANZAROTE-CESAR MANRIQUE,3,2015,516020,4223,171647
3032,LEON,3,2015,1726,124,0
3033,LOGROÑO,3,2015,1090,113,0
3034,MADRID-CUATRO VIENTOS,3,2015,343,3524,0
3035,MALAGA-COSTA DEL SOL,3,2015,900453,6965,177218
3036,MELILLA,3,2015,27073,714,11778
3037,MENORCA,3,2015,74968,995,139960
3038,MURCIA-SAN JAVIER,3,2015,28563,314,18
3039,PALMA DE MALLORCA,3,2015,951227,8108,870641
3040,PAMPLONA,3,2015,11931,407,0
3041,REUS,3,2015,10511,688,0
3042,SABADELL,3,2015,301,2269,0
3043,SALAMANCA,3,2015,1710,701,0
3044,SAN SEBASTIAN,3,2015,20850,529,313
3045,SANTIAGO-ROSALIA DE CASTRO,3,2015,157723,1504,188862
3046,SEVE BALLESTEROS-SANTANDER,3,2015,52521,729,0
3047,SEVILLA,3,2015,346544,3691,525902
3048,SON BONET,3,2015,120,697,0
3049,TENERIFE NORTE-C. LA LAGUNA,3,2015,292838,4289,1008808
3050,TENERIFE SUR,3,2015,879148,5589,281613
3051,VALENCIA,3,2015,360249,4457,1163577
3052,VALLADOLID,3,2015,15816,351,9271
3053,VIGO,3,2015,51710,744,42040
3054,VITORIA,3,2015,192,518,3785808
3055,ZARAGOZA,3,2015,35852,611,7441597
3056,A CORUÑA,4,2015,83656,1228,13077
3057,ADOLFO SUAREZ MADRID-BARAJAS,4,2015,3804165,30652,31141972
3058,ALBACETE,4,2015,35,7,0
3059,ALICANTE-ELCHE,4,2015,924741,6506,242509
3060,ALMERIA,4,2015,61172,881,412
3061,ASTURIAS,4,2015,92221,850,2342
3062,BADAJOZ,4,2015,2630,150,0
3063,BARCELONA-EL PRAT J.T.,4,2015,3329318,24926,9201224
3064,BILBAO,4,2015,376026,3845,238313
3065,BURGOS,4,2015,1832,170,0
3066,CEUTA-HELIPUERTO,4,2015,70,17,0
3067,CORDOBA,4,2015,463,432,0
3068,EL HIERRO,4,2015,12406,298,6191
3069,FGL GRANADA-JAEN,4,2015,62176,960,278
3070,FUERTEVENTURA,4,2015,399399,3163,77620
3071,GIRONA-COSTA BRAVA,4,2015,169408,1769,3480
3072,GRAN CANARIA,4,2015,871256,8528,1499332
3073,HUESCA-PIRINEOS,4,2015,22,117,0
3074,IBIZA,4,2015,298152,3199,164752
3075,JEREZ DE LA FRONTERA,4,2015,74519,3888,62
3076,LA GOMERA,4,2015,3054,144,130
3077,LA PALMA,4,2015,80986,1300,49279
3078,LANZAROTE-CESAR MANRIQUE,4,2015,504461,4261,142794
3079,LEON,4,2015,3434,127,0
3080,LOGROÑO,4,2015,1703,129,0
3081,MADRID-CUATRO VIENTOS,4,2015,234,4009,0
3082,MALAGA-COSTA DEL SOL,4,2015,1294158,9757,175024
3083,MELILLA,4,2015,26639,708,10328
3084,MENORCA,4,2015,108619,1319,97910
3085,MURCIA-SAN JAVIER,4,2015,113588,869,141
3086,PALMA DE MALLORCA,4,2015,1741570,13943,958684
3087,PAMPLONA,4,2015,13787,518,1050
3088,REUS,4,2015,27540,915,0
3089,SABADELL,4,2015,312,2309,0
3090,SALAMANCA,4,2015,2867,611,0
3091,SAN SEBASTIAN,4,2015,22323,569,384
3092,SANTIAGO-ROSALIA DE CASTRO,4,2015,196481,1713,177130
3093,SEVE BALLESTEROS-SANTANDER,4,2015,83741,1003,251
3094,SEVILLA,4,2015,409251,3969,613938
3095,SON BONET,4,2015,295,1112,0
3096,TENERIFE NORTE-C. LA LAGUNA,4,2015,308941,4365,979190
3097,TENERIFE SUR,4,2015,741576,4881,214726
3098,VALENCIA,4,2015,447485,5192,1074669
3099,VALLADOLID,4,2015,19029,352,880
3100,VIGO,4,2015,52461,781,37323
3101,VITORIA,4,2015,1056,560,3623953
3102,ZARAGOZA,4,2015,38966,587,6702473
3103,A CORUÑA,5,2015,86290,1340,8650
3104,ADOLFO SUAREZ MADRID-BARAJAS,5,2015,3997868,32104,31507760
3105,ALBACETE,5,2015,26,9,0
3106,ALGECIRAS-HELIPUERTO,5,2015,0,0,0
3107,ALICANTE-ELCHE,5,2015,1014650,7089,243761
3108,ALMERIA,5,2015,63521,979,1213
3109,ASTURIAS,5,2015,91807,895,8351
3110,BADAJOZ,5,2015,3015,286,0
3111,BARCELONA-EL PRAT J.T.,5,2015,3604942,26883,9666641
3112,BILBAO,5,2015,368295,3974,245976
3113,BURGOS,5,2015,944,272,0
3114,CEUTA-HELIPUERTO,5,2015,74,19,0
3115,CORDOBA,5,2015,645,625,0
3116,EL HIERRO,5,2015,11637,290,6499
3117,FGL GRANADA-JAEN,5,2015,61649,940,72
3118,FUERTEVENTURA,5,2015,383851,3125,70131
3119,GIRONA-COSTA BRAVA,5,2015,201979,2341,7294
3120,GRAN CANARIA,5,2015,703716,7392,1601970
3121,HUESCA-PIRINEOS,5,2015,8,171,0
3122,IBIZA,5,2015,638347,6326,209043
3123,JEREZ DE LA FRONTERA,5,2015,91792,4213,1
3124,LA GOMERA,5,2015,3023,168,304
3125,LA PALMA,5,2015,78187,1348,46450
3126,LANZAROTE-CESAR MANRIQUE,5,2015,489252,4146,158146
3127,LEON,5,2015,5280,210,0
3128,LOGROÑO,5,2015,1375,119,0
3129,MADRID-CUATRO VIENTOS,5,2015,542,4237,0
3130,MALAGA-COSTA DEL SOL,5,2015,1449144,10811,225037
3131,MELILLA,5,2015,26804,725,11938
3132,MENORCA,5,2015,255037,2717,132810
3133,MURCIA-SAN JAVIER,5,2015,130036,992,206
3134,PALMA DE MALLORCA,5,2015,2628025,19766,1036669
3135,PAMPLONA,5,2015,13415,550,1451
3136,REUS,5,2015,83647,1520,0
3137,SABADELL,5,2015,545,2846,0
3138,SALAMANCA,5,2015,4932,760,0
3139,SAN SEBASTIAN,5,2015,26423,601,0
3140,SANTIAGO-ROSALIA DE CASTRO,5,2015,195418,1731,173671
3141,SEVE BALLESTEROS-SANTANDER,5,2015,83206,1018,0
3142,SEVILLA,5,2015,414882,4744,438660
3143,SON BONET,5,2015,479,1287,0
3144,TENERIFE NORTE-C. LA LAGUNA,5,2015,314709,4514,1064534
3145,TENERIFE SUR,5,2015,632431,4090,186179
3146,VALENCIA,5,2015,446793,5330,1120666
3147,VALLADOLID,5,2015,24326,441,764
3148,VIGO,5,2015,53533,827,34602
3149,VITORIA,5,2015,1571,638,3798704
3150,ZARAGOZA,5,2015,30301,563,6147104
3151,A CORUÑA,6,2015,90184,1334,11447
3152,ADOLFO SUAREZ MADRID-BARAJAS,6,2015,4138318,32496,31157187
3153,ALBACETE,6,2015,106,21,0
3154,ALGECIRAS-HELIPUERTO,6,2015,0,0,0
3155,ALICANTE-ELCHE,6,2015,1073957,7392,254932
3156,ALMERIA,6,2015,74768,1036,434
3157,ASTURIAS,6,2015,107506,989,3622
3158,BADAJOZ,6,2015,2735,169,0
3159,BARCELONA-EL PRAT J.T.,6,2015,3815345,27709,9916852
3160,BILBAO,6,2015,405695,4252,270844
3161,BURGOS,6,2015,871,220,0
3162,CEUTA-HELIPUERTO,6,2015,103,24,0
3163,CORDOBA,6,2015,838,827,0
3164,EL HIERRO,6,2015,11492,284,6145
3165,FGL GRANADA-JAEN,6,2015,65900,1076,17
3166,FUERTEVENTURA,6,2015,387655,3042,69058
3167,GIRONA-COSTA BRAVA,6,2015,215985,2269,17769
3168,GRAN CANARIA,6,2015,692628,7183,1484187
3169,HUESCA-PIRINEOS,6,2015,20,148,0
3170,IBIZA,6,2015,927196,8788,234099
3171,JEREZ DE LA FRONTERA,6,2015,92498,3813,1
3172,LA GOMERA,6,2015,3110,141,73
3173,LA PALMA,6,2015,74956,1276,41608
3174,LANZAROTE-CESAR MANRIQUE,6,2015,499618,4085,145722
3175,LEON,6,2015,2592,162,0
3176,LOGROÑO,6,2015,1309,111,0
3177,MADRID-CUATRO VIENTOS,6,2015,312,3946,0
3178,MALAGA-COSTA DEL SOL,6,2015,1478204,10784,225583
3179,MELILLA,6,2015,25725,722,11139
3180,MENORCA,6,2015,415181,3679,142644
3181,MURCIA-SAN JAVIER,6,2015,144619,1218,44
3182,PALMA DE MALLORCA,6,2015,3030172,21071,1132641
3183,PAMPLONA,6,2015,14565,791,1134
3184,REUS,6,2015,123705,1677,10
3185,SABADELL,6,2015,423,3003,0
3186,SALAMANCA,6,2015,842,784,0
3187,SAN SEBASTIAN,6,2015,25187,658,154
3188,SANTIAGO-ROSALIA DE CASTRO,6,2015,203523,1819,200646
3189,SEVE BALLESTEROS-SANTANDER,6,2015,88464,1117,4
3190,SEVILLA,6,2015,378524,4235,496838
3191,SON BONET,6,2015,402,1438,0
3192,TENERIFE NORTE-C. LA LAGUNA,6,2015,321094,4421,1296102
3193,TENERIFE SUR,6,2015,623938,4060,152685
3194,VALENCIA,6,2015,479912,5432,1486453
3195,VALLADOLID,6,2015,19472,439,5939
3196,VIGO,6,2015,66466,867,49131
3197,VITORIA,6,2015,432,602,4256652
3198,ZARAGOZA,6,2015,35597,672,5231899
3199,A CORUÑA,7,2015,100193,1434,12080
3200,ADOLFO SUAREZ MADRID-BARAJAS,7,2015,4595447,33854,32844955
3201,ALBACETE,7,2015,58,22,0
3202,ALGECIRAS-HELIPUERTO,7,2015,3,4,0
3203,ALICANTE-ELCHE,7,2015,1250395,8341,379869
3204,ALMERIA,7,2015,89484,1099,295
3205,ASTURIAS,7,2015,127838,1254,4318
3206,BADAJOZ,7,2015,4065,221,0
3207,BARCELONA-EL PRAT J.T.,7,2015,4257518,29442,10396228
3208,BILBAO,7,2015,468786,4403,284159
3209,BURGOS,7,2015,586,273,0
3210,CEUTA-HELIPUERTO,7,2015,82,20,0
3211,CORDOBA,7,2015,553,642,0
3212,EL HIERRO,7,2015,13028,324,6793
3213,FGL GRANADA-JAEN,7,2015,59155,1018,118
3214,FUERTEVENTURA,7,2015,453847,3432,68136
3215,GIRONA-COSTA BRAVA,7,2015,253564,2596,34482
3216,GRAN CANARIA,7,2015,821882,7945,1654454
3217,HUESCA-PIRINEOS,7,2015,1,204,0
3218,IBIZA,7,2015,1182692,11589,261474
3219,JEREZ DE LA FRONTERA,7,2015,97274,4001,0
3220,LA GOMERA,7,2015,3517,174,52
3221,LA PALMA,7,2015,94160,1631,42280
3222,LANZAROTE-CESAR MANRIQUE,7,2015,563543,4373,150312
3223,LEON,7,2015,4436,215,0
3224,LOGROÑO,7,2015,1138,145,0
3225,MADRID-CUATRO VIENTOS,7,2015,165,3774,0
3226,MALAGA-COSTA DEL SOL,7,2015,1705174,12582,217694
3227,MELILLA,7,2015,29452,778,12068
3228,MENORCA,7,2015,556063,4772,165943
3229,MURCIA-SAN JAVIER,7,2015,159598,1173,80
3230,PALMA DE MALLORCA,7,2015,3503125,24466,1208877
3231,PAMPLONA,7,2015,17260,526,0
3232,REUS,7,2015,130409,1662,0
3233,SABADELL,7,2015,372,3162,0
3234,SALAMANCA,7,2015,2457,926,0
3235,SAN SEBASTIAN,7,2015,26113,678,0
3236,SANTIAGO-ROSALIA DE CASTRO,7,2015,253646,2236,209384
3237,SEVE BALLESTEROS-SANTANDER,7,2015,107013,1220,0
3238,SEVILLA,7,2015,395260,4073,508879
3239,SON BONET,7,2015,449,1752,0
3240,TENERIFE NORTE-C. LA LAGUNA,7,2015,363266,4800,1174084
3241,TENERIFE SUR,7,2015,712862,4473,182975
3242,VALENCIA,7,2015,548209,5932,1451338
3243,VALLADOLID,7,2015,23102,505,2920
3244,VIGO,7,2015,79651,1021,94284
3245,VITORIA,7,2015,1051,704,4341266
3246,ZARAGOZA,7,2015,47214,687,5911443
3247,A CORUÑA,8,2015,89671,1190,10984
3248,ADOLFO SUAREZ MADRID-BARAJAS,8,2015,4550326,32182,29129975
3249,ALBACETE,8,2015,56,20,0
3250,ALGECIRAS-HELIPUERTO,8,2015,0,4,0
3251,ALICANTE-ELCHE,8,2015,1260839,8353,274838
3252,ALMERIA,8,2015,87819,1020,326
3253,ASTURIAS,8,2015,126298,1220,4616
3254,BADAJOZ,8,2015,1398,74,0
3255,BARCELONA-EL PRAT J.T.,8,2015,4399719,29257,9140680
3256,BILBAO,8,2015,454206,3997,181582
3257,BURGOS,8,2015,548,280,0
3258,CEUTA-HELIPUERTO,8,2015,91,22,0
3259,CORDOBA,8,2015,507,481,0
3260,EL HIERRO,8,2015,15515,332,5833
3261,FGL GRANADA-JAEN,8,2015,55748,804,136
3262,FUERTEVENTURA,8,2015,515085,3865,70829
3263,GIRONA-COSTA BRAVA,8,2015,255076,2258,10414
3264,GRAN CANARIA,8,2015,862580,7832,1467200
3265,HUESCA-PIRINEOS,8,2015,16,250,0
3266,IBIZA,8,2015,1300505,12481,227879
3267,JEREZ DE LA FRONTERA,8,2015,104893,4652,0
3268,LA GOMERA,8,2015,4150,174,70
3269,LA PALMA,8,2015,88390,1367,37286
3270,LANZAROTE-CESAR MANRIQUE,8,2015,619387,4745,153233
3271,LEON,8,2015,7480,302,0
3272,LOGROÑO,8,2015,1416,171,0
3273,MADRID-CUATRO VIENTOS,8,2015,166,3430,0
3274,MALAGA-COSTA DEL SOL,8,2015,1736950,12801,281392
3275,MELILLA,8,2015,30428,705,8819
3276,MENORCA,8,2015,630482,5340,156947
3277,MURCIA-SAN JAVIER,8,2015,155806,1158,0
3278,PALMA DE MALLORCA,8,2015,3775518,25725,1070269
3279,PAMPLONA,8,2015,11072,490,0
3280,REUS,8,2015,130818,1427,0
3281,SABADELL,8,2015,385,2489,0
3282,SALAMANCA,8,2015,2115,991,0
3283,SAN SEBASTIAN,8,2015,17239,590,1242
3284,SANTIAGO-ROSALIA DE CASTRO,8,2015,282505,2354,173741
3285,SEVE BALLESTEROS-SANTANDER,8,2015,104768,1122,0
3286,SEVILLA,8,2015,407458,3824,413828
3287,SON BONET,8,2015,588,1607,0
3288,TENERIFE NORTE-C. LA LAGUNA,8,2015,396974,4924,1163736
3289,TENERIFE SUR,8,2015,761428,4574,210013
3290,VALENCIA,8,2015,599921,5887,767034
3291,VALLADOLID,8,2015,26353,561,215
3292,VIGO,8,2015,76883,923,28858
3293,VITORIA,8,2015,1781,555,3011807
3294,ZARAGOZA,8,2015,49287,661,8516364
3295,A CORUÑA,9,2015,94397,1322,8813
3296,ADOLFO SUAREZ MADRID-BARAJAS,9,2015,4331479,32279,30729836
3297,ALBACETE,9,2015,29,15,0
3298,ALGECIRAS-HELIPUERTO,9,2015,0,14,0
3299,ALICANTE-ELCHE,9,2015,1097644,7300,351609
3300,ALMERIA,9,2015,78671,1007,52
3301,ASTURIAS,9,2015,112945,1057,10027
3302,BADAJOZ,9,2015,296,56,0
3303,BARCELONA-EL PRAT J.T.,9,2015,3974601,27271,9856047
3304,BILBAO,9,2015,417475,4061,257422
3305,BURGOS,9,2015,510,199,0
3306,CEUTA-HELIPUERTO,9,2015,63,14,0
3307,CORDOBA,9,2015,729,566,0
3308,EL HIERRO,9,2015,13368,330,6094
3309,FGL GRANADA-JAEN,9,2015,67646,988,0
3310,FUERTEVENTURA,9,2015,421260,3121,74910
3311,GIRONA-COSTA BRAVA,9,2015,217884,2045,6050
3312,GRAN CANARIA,9,2015,760953,7148,1573573
3313,HUESCA-PIRINEOS,9,2015,8,347,0
3314,IBIZA,9,2015,980867,8553,199847
3315,JEREZ DE LA FRONTERA,9,2015,98236,4176,58
3316,LA GOMERA,9,2015,3206,174,33
3317,LA PALMA,9,2015,76258,1240,40555
3318,LANZAROTE-CESAR MANRIQUE,9,2015,506147,3966,136369
3319,LEON,9,2015,4114,247,0
3320,LOGROÑO,9,2015,1271,124,0
3321,MADRID-CUATRO VIENTOS,9,2015,184,3468,0
3322,MALAGA-COSTA DEL SOL,9,2015,1534974,10813,229375
3323,MELILLA,9,2015,28330,718,9798
3324,MENORCA,9,2015,425306,3684,143403
3325,MURCIA-SAN JAVIER,9,2015,138693,1011,0
3326,PALMA DE MALLORCA,9,2015,3114934,21218,998823
3327,PAMPLONA,9,2015,12441,465,152
3328,REUS,9,2015,106555,1361,0
3329,SABADELL,9,2015,344,2362,0
3330,SALAMANCA,9,2015,2917,726,0
3331,SAN SEBASTIAN,9,2015,24482,677,0
3332,SANTIAGO-ROSALIA DE CASTRO,9,2015,236136,2034,190460
3333,SEVE BALLESTEROS-SANTANDER,9,2015,97071,1072,0
3334,SEVILLA,9,2015,405713,3958,483547
3335,SON BONET,9,2015,401,1279,0
3336,TENERIFE NORTE-C. LA LAGUNA,9,2015,335747,4512,1298241
3337,TENERIFE SUR,9,2015,677699,4135,258115
3338,VALENCIA,9,2015,490990,5224,1033762
3339,VALLADOLID,9,2015,21207,507,2162
3340,VIGO,9,2015,69360,933,29063
3341,VITORIA,9,2015,1149,631,3989208
3342,ZARAGOZA,9,2015,40903,755,9980557
3343,A CORUÑA,10,2015,90810,1263,13191
3344,ADOLFO SUAREZ MADRID-BARAJAS,10,2015,4271138,32127,35517715
3345,ALBACETE,10,2015,259,84,0
3346,ALGECIRAS-HELIPUERTO,10,2015,1,4,0
3347,ALICANTE-ELCHE,10,2015,1027071,7036,393052
3348,ALMERIA,10,2015,64122,1019,428
3349,ASTURIAS,10,2015,90308,854,8141
3350,BADAJOZ,10,2015,221,46,0
3351,BARCELONA-EL PRAT J.T.,10,2015,3621777,25349,11070295
3352,BILBAO,10,2015,380751,3968,246064
3353,BURGOS,10,2015,278,123,0
3354,CEUTA-HELIPUERTO,10,2015,95,28,0
3355,CORDOBA,10,2015,583,503,0
3356,EL HIERRO,10,2015,12466,296,6721
3357,FGL GRANADA-JAEN,10,2015,66688,1005,0
3358,FUERTEVENTURA,10,2015,483320,3505,87727
3359,GIRONA-COSTA BRAVA,10,2015,182853,1736,1457
3360,GRAN CANARIA,10,2015,935690,8558,1597350
3361,HUESCA-PIRINEOS,10,2015,28,439,0
3362,IBIZA,10,2015,489874,4884,156741
3363,JEREZ DE LA FRONTERA,10,2015,95381,3459,106
3364,LA GOMERA,10,2015,2845,131,199
3365,LA PALMA,10,2015,80054,1257,43254
3366,LANZAROTE-CESAR MANRIQUE,10,2015,566004,4498,154134
3367,LEON,10,2015,3653,142,0
3368,LOGROÑO,10,2015,1728,122,0
3369,MADRID-CUATRO VIENTOS,10,2015,139,2752,0
3370,MALAGA-COSTA DEL SOL,10,2015,1431683,10241,212516
