,AIRPORTS,MONTH,YEAR,PAX,MOVEMENTS,CARGO (KG)
346,BILBAO,8,2010,383988,4329,163147
347,BURGOS,8,2010,5557,447,850
348,CEUTA-HELIPUERTO,8,2010,3293,414,61
349,CORDOBA,8,2010,256,170,0
350,EL HIERRO,8,2010,17104,370,12416
351,FGL GRANADA-JAEN,8,2010,78199,1200,2450
352,FUERTEVENTURA,8,2010,454110,3969,141603
353,GIRONA-COSTA BRAVA,8,2010,618455,4723,3920
354,GRAN CANARIA,8,2010,788446,8314,1911994
355,HUESCA-PIRINEOS,8,2010,7,1036,0
356,IBIZA,8,2010,1083518,11003,388569
357,JEREZ DE LA FRONTERA,8,2010,120701,3155,11773
358,LA GOMERA,8,2010,3412,183,865
359,LA PALMA,8,2010,97038,1814,72174
360,LANZAROTE-CESAR MANRIQUE,8,2010,530642,4628,318206
361,LEON,8,2010,13412,546,298
362,LOGROÑO,8,2010,4582,423,0
363,MADRID-CUATRO VIENTOS,8,2010,5,3635,0
364,MADRID-TORREJON,8,2010,1404,658,22
365,MALAGA-COSTA DEL SOL,8,2010,1502305,12250,273813
366,MELILLA,8,2010,25088,759,23970
367,MENORCA,8,2010,535677,4925,312605
368,MURCIA-SAN JAVIER,8,2010,190351,1638,345
369,PALMA DE MALLORCA,8,2010,3205081,22329,1552075
370,PAMPLONA,8,2010,19649,776,1417
371,REUS,8,2010,241176,2736,4327
372,SABADELL,8,2010,0,3274,0
373,SALAMANCA,8,2010,9212,1755,0
374,SAN SEBASTIAN,8,2010,20564,841,1780
375,SANTIAGO-ROSALIA DE CASTRO,8,2010,237741,2110,173596
376,SEVE BALLESTEROS-SANTANDER,8,2010,99197,1622,0
377,SEVILLA,8,2010,407906,4323,357506
378,SON BONET,8,2010,0,1805,0
379,TENERIFE NORTE-C. LA LAGUNA,8,2010,378335,5149,1044312
380,TENERIFE SUR,8,2010,648009,4291,306118
381,VALENCIA,8,2010,549445,6911,782746
382,VALLADOLID,8,2010,45929,960,1191
383,VIGO,8,2010,112605,1346,59267
384,VITORIA,8,2010,4514,543,1902607
385,ZARAGOZA,8,2010,81893,1334,3940684
386,A CORUÑA,9,2010,100576,1620,22161
387,ADOLFO SUAREZ MADRID-BARAJAS,9,2010,4461380,36645,29234318
388,ALBACETE,9,2010,1116,117,0
389,ALGECIRAS-HELIPUERTO,9,2010,1981,244,0
390,ALICANTE-ELCHE,9,2010,975232,7217,259852
391,ALMERIA,9,2010,67511,1320,1390
392,ASTURIAS,9,2010,132540,1558,11136
393,BADAJOZ,9,2010,4821,322,0
394,BARCELONA-EL PRAT J.T.,9,2010,2837287,25159,8255173
395,BILBAO,9,2010,362262,4785,226635
396,BURGOS,9,2010,2968,392,916
397,CEUTA-HELIPUERTO,9,2010,3436,409,102
398,CORDOBA,9,2010,358,383,0
399,EL HIERRO,9,2010,14432,346,12066
400,FGL GRANADA-JAEN,9,2010,75113,1191,2211
401,FUERTEVENTURA,9,2010,369269,3353,134456
402,GIRONA-COSTA BRAVA,9,2010,483410,3914,3247
403,GRAN CANARIA,9,2010,691293,7762,1888702
404,HUESCA-PIRINEOS,9,2010,19,679,0
405,IBIZA,9,2010,753061,7157,309954
406,JEREZ DE LA FRONTERA,9,2010,104743,2877,9705
407,LA GOMERA,9,2010,2845,148,1009
408,LA PALMA,9,2010,78387,1580,64709
409,LANZAROTE-CESAR MANRIQUE,9,2010,432062,3967,357552
410,LEON,9,2010,8615,490,283
411,LOGROÑO,9,2010,2026,323,0
412,MADRID-CUATRO VIENTOS,9,2010,34,4199,0
413,MADRID-TORREJON,9,2010,2139,954,7
414,MALAGA-COSTA DEL SOL,9,2010,1305033,10388,266446
415,MELILLA,9,2010,23722,768,25606
416,MENORCA,9,2010,354858,3268,243048
417,MURCIA-SAN JAVIER,9,2010,161590,1410,133
418,PALMA DE MALLORCA,9,2010,2631435,19208,1655056
419,PAMPLONA,9,2010,28048,1102,3905
420,REUS,9,2010,187858,2528,23707
421,SABADELL,9,2010,0,3084,0
422,SALAMANCA,9,2010,5020,1141,0
423,SAN SEBASTIAN,9,2010,26091,940,1845
424,SANTIAGO-ROSALIA DE CASTRO,9,2010,207324,1971,183754
425,SEVE BALLESTEROS-SANTANDER,9,2010,94019,1550,684
426,SEVILLA,9,2010,364345,4429,516545
427,SON BONET,9,2010,0,1336,0
428,TENERIFE NORTE-C. LA LAGUNA,9,2010,343146,5113,1361177
429,TENERIFE SUR,9,2010,530465,3621,350506
430,VALENCIA,9,2010,464317,6729,1025471
431,VALLADOLID,9,2010,39110,813,14
432,VIGO,9,2010,103448,1244,79989
